ID,W,X4,S6_2
143,1.14422706118996,Vilniaus apskritis,0
144,1.1778472321341,Kauno apskritis,0
145,1.12482740810443,Marijampolės apskritis,0
146,1.12482740810443,Marijampolės apskritis,0
147,1.01930555622654,Kauno apskritis,0
148,1.01930555622654,Kauno apskritis,0
149,1.04675046916182,Alytaus apskritis,0
150,0.973422355290814,Marijampolės apskritis,0
151,0.996038554472113,Kauno apskritis,0
152,1.00656483407283,Šiaulių apskritis,0
153,0.915558957893177,Tauragės apskritis,0
154,0.8135025457966,Kauno apskritis,0
155,0.730702916827274,Tauragės apskritis,0
156,0.828165283766322,Klaipėdos apskritis,0
157,0.828165283766322,Klaipėdos apskritis,0
158,1.06760679061456,Vilniaus apskritis,0
159,1.04950618622216,Marijampolės apskritis,0
160,1.0852391199476,Šiaulių apskritis,0
161,1.0852391199476,Šiaulių apskritis,0
162,1.0852391199476,Šiaulių apskritis,0
163,0.912104695886083,Vilniaus apskritis,0
164,0.849578860954697,Utenos apskritis,0
165,0.900758704609963,Vilniaus apskritis,0
166,0.927225183734233,Kauno apskritis,0
167,0.927225183734233,Kauno apskritis,0
168,0.927225183734233,Kauno apskritis,0
169,0.952190822627828,Alytaus apskritis,0
170,0.909532614901491,Panevėžio apskritis,0
171,0.83285067737171,Tauragės apskritis,0
172,0.943937682027289,Klaipėdos apskritis,0
173,0.900758704609963,Vilniaus apskritis,1
174,1.18223006783537,Vilniaus apskritis,0
175,1.18918797618158,Kauno apskritis,0
176,1.21696685944261,Kauno apskritis,0
177,1.09310196811502,Tauragės apskritis,0
178,1.23890172156449,Klaipėdos apskritis,0
179,1.23936482445569,Vilniaus apskritis,0
180,1.31013089931277,Alytaus apskritis,1
181,1.21835217018771,Marijampolės apskritis,0
182,1.21835217018771,Marijampolės apskritis,0
183,1.29877530308123,Klaipėdos apskritis,0
184,1.07254270103475,Vilniaus apskritis,1
185,1.07254270103475,Vilniaus apskritis,0
186,1.07254270103475,Vilniaus apskritis,1
187,1.10405661132121,Kauno apskritis,0
188,1.1337834556303,Alytaus apskritis,0
189,1.08298988671784,Panevėžio apskritis,0
190,0.991683911013296,Tauragės apskritis,0
191,1.12395635580166,Klaipėdos apskritis,0
192,0.855990838505168,Vilniaus apskritis,0
193,0.807354642084502,Utenos apskritis,0
194,0.881141928960267,Kauno apskritis,1
195,0.881141928960267,Kauno apskritis,1
196,0.84147805002582,Marijampolės apskritis,0
197,0.84147805002582,Marijampolės apskritis,0
198,0.84147805002582,Marijampolės apskritis,1
199,0.864328683911464,Panevėžio apskritis,0
200,0.791457852168861,Tauragės apskritis,0
201,0.897023813147646,Klaipėdos apskritis,0
202,0.897023813147646,Klaipėdos apskritis,1
203,1.15637389423536,Vilniaus apskritis,0
204,1.19035096864497,Kauno apskritis,0
205,1.19035096864497,Kauno apskritis,0
206,1.19035096864497,Kauno apskritis,1
207,1.19035096864497,Kauno apskritis,0
208,1.19035096864497,Kauno apskritis,0
209,1.16763764418256,Panevėžio apskritis,1
210,1.21180610045178,Klaipėdos apskritis,1
211,1.21180610045178,Klaipėdos apskritis,0
212,1.21180610045178,Klaipėdos apskritis,0
213,1.21180610045178,Klaipėdos apskritis,0
214,0.987942441359892,Vilniaus apskritis,0
215,0.920217841005577,Utenos apskritis,1
216,1.0043201354411,Kauno apskritis,0
217,1.0313615642923,Alytaus apskritis,1
218,1.0313615642923,Alytaus apskritis,0
219,0.985156502444377,Panevėžio apskritis,0
220,0.985156502444377,Panevėžio apskritis,0
221,0.985156502444377,Panevėžio apskritis,1
222,0.991766722265957,Šiaulių apskritis,1
223,1.02242220907293,Klaipėdos apskritis,0
224,1.02242220907293,Klaipėdos apskritis,0
225,0.66790308225545,Alytaus apskritis,0
226,1.14422706118996,Vilniaus apskritis,0
227,1.05552957323183,Telšių apskritis,0
228,1.00268349122351,Vilniaus apskritis,0
229,0.93394837480164,Utenos apskritis,0
230,0.996038554472113,Kauno apskritis,0
231,0.999855983424275,Panevėžio apskritis,0
232,0.790282136640805,Vilniaus apskritis,0
233,0.8135025457966,Kauno apskritis,0
234,0.8135025457966,Kauno apskritis,0
235,0.8135025457966,Kauno apskritis,0
